title	link	date	title_corrected
Belize faces heat over rights of Maya, LGBTI and migrant workers - Amandala	https://amandala.com.bz/news/belize-faces-heat-rights-maya-lgbti-migrant-workers/	2014-08-22	Belize faces heat over rights of Maya, LGBTI and migrant workers
Costa Rica in talks with Belize over plight of Cuban migrants - Breaking Belize News	https://www.breakingbelizenews.com/2015/12/04/costa-rica-talks-belize-plight-cuban-migrants/	2015-12-04	Costa Rica in talks with Belize over plight of Cuban migrants
Belize turns down request for passage of 5000 Cuban migrants - Amandala	https://amandala.com.bz/news/belize-turns-request-passage-5000-cuban-migrants/	2015-12-12	Belize turns down request for passage of 5000 Cuban migrants
Costa Rica withdraws from SICA over Cuban migrants - Breaking Belize News	https://www.breakingbelizenews.com/2015/12/22/costa-rica-withdraws-sica-cuban-migrants/	2015-12-22	Costa Rica withdraws from SICA over Cuban migrants
Cuban migrants in crisis: Costa Rica closes doors and withdraws from SICA's political bodies - Amandala	https://amandala.com.bz/news/cuban-migrants-crisis-costa-rica-closes-doors-withdraws-sicas-political-bodies/	2015-12-24	Cuban migrants in crisis: Costa Rica closes doors and withdraws from SICA's political bodies
Costa Rica says Belize can still help Cuban migrants - Amandala	https://amandala.com.bz/news/costa-rica-belize-cuban-migrants/	2016-01-19	Costa Rica says Belize can still help Cuban migrants
Powers of Immigration boss to be delegated to Hon. Bev Castillo - Amandala	https://amandala.com.bz/news/powers-immigration-boss-delegated-hon-bev-castillo/	2016-03-15	Powers of Immigration boss to be delegated to Hon. Bev Castillo
1500 refugees and counting working to settle in Belize: report - Breaking Belize News	https://www.breakingbelizenews.com/2016/04/30/1500-refugees-counting-working-settle-belize-report/	2016-04-30	1500 refugees and counting working to settle in Belize: report
GOB explains refugee situation - Breaking Belize News	https://www.breakingbelizenews.com/2016/05/10/gob-explains-refugee-situation/	2016-05-10	GOB explains refugee situation
Cabinet calls halt to Help for Progress refugee program - Breaking Belize News	https://www.breakingbelizenews.com/2016/05/17/cabinet-calls-halt-progress-refugee-program/	2016-05-17	Cabinet calls halt to Help for Progress refugee program
Economics and migration - Amandala	http://amandala.com.bz/news/economics-migration/	2016-06-22	Economics and migration
Race, immigration and Belize's black population - Amandala	https://amandala.com.bz/news/race-immigration-belizes-black-population/	2017-02-11	Race, immigration and Belize's black population
Belize - The Middle East's refugee solution? - Breaking Belize News	https://www.breakingbelizenews.com/2017/02/13/belize-middle-easts-refugee-solution/	2017-02-13	BelizeThe Middle East's refugee solution?
The long view on Chinese immigration in Belize - Amandala	http://amandala.com.bz/news/long-view-chinese-immigration-belize-2/	2017-08-30	The long view on Chinese immigration in Belize
PNG police back to move refugees from Australian camp - WIC News	https://wicnews.com/world/png-police-back-move-refugees-australian-camp-18018313/	2017-11-24	PNG police back to move refugees from Australian camp
Study on Caribbean health worker migration begins - WIC News	https://wicnews.com/caribbean/study-caribbean-health-worker-migration-begins-494410124/	2018-02-12	Study on Caribbean health worker migration begins
Galen University signs agreement with UN Immigration Agency - Breaking Belize News	https://www.breakingbelizenews.com/2018/04/09/galen-university-signs-agreement-with-un-immigration-agency/	2018-04-09	Galen University signs agreement with UN Immigration Agency
Belize to develop new migration policy - Breaking Belize News	https://www.breakingbelizenews.com/2018/05/16/belize-to-develop-new-migration-policy/	2018-05-16	Belize to develop new migration policy
The demographics of migration and graduation in Belize - Breaking Belize News	https://www.breakingbelizenews.com/2018/05/30/the-demographics-of-migration-and-graduation-in-belize/	2018-05-30	The demographics of migration and graduation in Belize
Belize and Mexico hold second cross border migration meeting - Breaking Belize News	https://www.breakingbelizenews.com/2018/07/12/belize-and-mexico-hold-second-cross-border-migration-meeting/	2018-07-12	Belize and Mexico hold second cross border migration meeting
Teachers attend workshop on risks of 'irregular migration' - Breaking Belize News	https://www.breakingbelizenews.com/2018/08/07/teachers-attend-workshop-on-risks-of-irregular-migration/	2018-08-07	Teachers attend workshop on risks of 'irregular migration'
Saldivar says Belizeans will not become 'refugees' - Breaking Belize News	https://www.breakingbelizenews.com/2018/09/24/saldivar-says-belizeans-will-not-become-refugees/	2018-09-24	Saldivar says Belizeans will not become 'refugees'
Trump threatens to cut us aid in Honduras over immigrant caravan - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/16/trump-threatens-to-cut-us-aid-in-honduras-over-immigrant-caravan/	2018-10-16	Trump threatens to cut us aid in Honduras over immigrant caravan
Hundreds of Honduran migrants en route to US - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/16/hundreds-of-honduran-migrants-en-route-to-us/	2018-10-16	Hundreds of Honduran migrants en route to US
Trump warns Guatemala, Honduras, and Salvador about migrant caravan - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/17/trump-warns-guatemala-honduras-and-salvador-about-migrant-caravan/	2018-10-17	Trump warns Guatemala, Honduras, and Salvador about migrant caravan
Mexico seeks assistance from UN for migrant caravan - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/19/mexico-seeks-assistance-from-un-for-migrant-caravan/	2018-10-19	Mexico seeks assistance from UN for migrant caravan
Caravan of immigrants from El Salvador to make its way to the US border on Oct 31st - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/22/caravan-of-immigrants-from-el-salvador-to-make-its-way-to-the-us-border-on-oct-31st/	2018-10-22	Caravan of immigrants from El Salvador to make its way to the US border on Oct 31st
US Secretary of State says illegal immigrants will not enter the US - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/22/us-secretary-of-state-says-illegal-immigrants-will-not-enter-the-us/	2018-10-22	US Secretary of State says illegal immigrants will not enter the US
Mexico offers temporary work permits to members of migrant caravan - Breaking Belize News	https://www.breakingbelizenews.com/2018/10/27/mexico-offers-temporary-work-permits-to-members-of-migrant-caravan/	2018-10-27	Mexico offers temporary work permits to members of migrant caravan
Russia blocking delivery of aid to Syrian refugee camp: US - WIC News	https://wicnews.com/world/russia-blocking-delivery-aid-syrian-refugee-camp-us-150212232/	2018-11-01	Russia blocking delivery of aid to Syrian refugee camp: US
Immigration Suspends Fingerprinting at PGIA During Tourism High Season | Channel5Belize.com - channel5belize	https://edition.channel5belize.com/archives/176693	2018-12-07	Immigration Suspends Fingerprinting at PGIA During Tourism High SeasonChannel5Belize.com
Brussels anti-migration protest turns violent - WIC News	https://wicnews.com/world/brussels-anti-migration-protest-turns-violent-325413942/	2018-12-16	Brussels anti-migration protest turns violent
Immigration: A Topic of Controversy or a Opportunity for National Growth? - WIC News	https://wicnews.com/world/immigration-topic-controversy-opportunity-national-growth-153219219/	2019-05-09	Immigration: A Topic of Controversy or a Opportunity for National Growth?
Maltese patrol boat rescue 85 migrants from sinking wooden boat - WIC News	https://wicnews.com/world/maltese-patrol-boat-rescue-85-migrants-sinking-wooden-boat-505819270/	2019-05-11	Maltese patrol boat rescue 85 migrants from sinking wooden boat
Mass emigration from Nicaragua could destabilize the region says United Nations refugee arm - Breaking Belize News	https://www.breakingbelizenews.com/2019/08/20/mass-emigration-from-nicaragua-could-destabilize-the-region-says-united-nations-refugee-arm/	2019-08-20	Mass emigration from Nicaragua could destabilize the region says United Nations refugee arm
Haitians being processed by St Kitts-Nevis immigration department - WIC News	https://wicnews.com/world/haitians-processed-st-kitts-nevis-immigration-department-154222793/	2019-10-22	Haitians being processed by St Kitts-Nevis immigration department
Some Haitian migrants traveled from homeland, others joined in Dominica: Source - WIC News	https://wicnews.com/caribbean/haitian-migrants-traveled-homeland-others-joined-dominica-source-215422838/	2019-10-24	Some Haitian migrants traveled from homeland, others joined in Dominica: Source
Mexican Senate urges their migration institute to allow courtesy passes to Belizeans at the Northern Border - Breaking Belize News	https://www.breakingbelizenews.com/2019/10/24/mexican-senate-urges-their-migration-institute-to-allow-courtesy-passes-to-belizeans-at-the-northern-border/	2019-10-24	Mexican Senate urges their migration institute to allow courtesy passes to Belizeans at the Northern Border
Circumstances is no longer a reason to migrate: Melissa Skerrit - WIC News	https://wicnews.com/caribbean/circumstances-no-longer-reason-migrate-melissa-skerrit-242322867/	2019-10-26	Circumstances is no longer a reason to migrate: Melissa Skerrit
St. Kitts-Nevis Government repatriates 49 Haitian migrants - WIC News	https://wicnews.com/caribbean/saint-kitts-nevis/st-kitts-nevis-government-repatriates-49-haitian-migrants-050423024/	2019-11-01	St. Kitts-Nevis Government repatriates 49 Haitian migrants
UNHCR talks plight of refugees, how journalism can help - Breaking Belize News	https://www.breakingbelizenews.com/2019/11/06/unhcr-talks-plight-of-refugees-how-journalism-can-help/	2019-11-06	UNHCR talks plight of refugees, how journalism can help
Mexico and Central America agree on refugee plan - Breaking Belize News	https://www.breakingbelizenews.com/2019/11/11/mexico-and-central-america-agree-on-refugee-plan/	2019-11-11	Mexico and Central America agree on refugee plan
Asylum seekers granted refugee status in Belize – Love FM | Belize News and Music Power - LoveFM	https://lovefm.com/asylum-seekers-granted-refugee-status-in-belize/	2019-11-30	Asylum seekers granted refugee status in Belize – Love FMBelize News and Music Power
Immigration Minister updates on department's split – Love FM | Belize News and Music Power - LoveFM	https://lovefm.com/immigration-minister-updates-departments-split/	2019-12-02	Immigration Minister updates on department's split – Love FMBelize News and Music Power
